field1,field2,field3,field4,output
217,324,307,288,Nothing
220,323,306,291,Nothing
219,323,306,288,Nothing
216,323,305,290,Nothing
215,323,305,290,Nothing
214,322,304,291,Nothing
216,322,305,288,Nothing
219,323,306,291,Nothing
221,323,306,290,Nothing
213,322,305,290,Nothing
219,322,305,291,Nothing
214,323,305,290,Nothing
210,324,306,292,Nothing
214,321,304,290,Nothing
211,323,305,290,Nothing
217,321,303,289,Nothing
213,324,305,290,Nothing
214,321,305,290,Nothing
217,322,305,288,Nothing
217,323,304,290,Nothing
212,324,304,289,Nothing
213,323,305,290,Nothing
216,324,305,289,Nothing
216,323,305,290,Nothing
214,322,305,288,Nothing
213,325,304,290,Nothing
220,324,305,290,Nothing
217,322,305,287,Nothing
215,324,304,289,Nothing
209,324,305,290,Nothing
217,324,304,289,Nothing
216,322,305,289,Nothing
217,323,306,289,Nothing
219,323,305,289,Nothing
213,323,304,289,Nothing
211,322,305,289,Nothing
216,322,305,289,Nothing
216,322,305,289,Nothing
216,323,305,289,Nothing
216,323,304,290,Nothing
217,324,304,290,Nothing
214,322,304,290,Nothing
218,322,305,291,Nothing
208,315,301,285,Nothing
205,316,300,286,Nothing
212,316,300,284,Washroom
209,316,301,284,Food
208,316,301,287,Nothing
206,316,299,284,Help
208,316,299,285,Help
211,316,300,285,Washroom
215,314,301,285,Food
209,314,300,284,Help
206,315,302,285,Food
211,315,301,286,Food
206,316,300,286,Help
208,316,300,287,Help
205,318,301,286,Water
212,317,302,285,Food
209,315,301,286,Help
209,317,302,286,Food
210,317,301,285,Help
203,317,302,284,Food
205,318,303,286,Food
207,317,301,285,Help
208,316,301,285,Help
219,316,300,285,Washroom
206,318,301,287,Water
214,317,302,285,Food
209,317,301,287,Help
211,317,302,286,Help
200,316,302,286,Help
217,318,300,286,Water
210,317,301,287,Help
209,317,301,286,Help
208,316,302,286,Help
214,315,301,286,Help
208,317,303,286,Food
208,318,302,285,Help
217,318,301,286,Water
205,317,303,287,Food
211,319,301,286,Water
207,316,302,286,Help
207,316,301,285,Help
213,315,300,288,Nothing
206,317,301,286,Help
201,316,302,286,Help
213,317,301,286,Help
211,318,301,285,Help
